"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상"
"서울특별시 노원구 상계1동(1135063000)","36,844","36,844","1,788","2,939","4,545","4,403","5,070","6,717","6,433","3,208","1,524","207","10"
"서울특별시 노원구 상계2동(1135064000)","19,102","19,102","686","1,576","2,907","2,134","2,513","3,738","3,184","1,516","743","98","7"
"서울특별시 노원구 상계3.4동(1135066500)","27,491","27,491","1,479","2,106","3,098","2,910","3,877","4,952","4,690","2,733","1,490","146","10"
"서울특별시 노원구 상계5동(1135067000)","23,012","23,012","840","1,697","2,913","2,571","2,996","4,372","3,932","2,323","1,188","173","7"
"서울특별시 노원구 상계6.7동(1135069500)","31,400","31,400","1,883","2,646","4,014","4,657","4,832","5,512","4,377","2,139","1,112","221","7"
"서울특별시 노원구 상계8동(1135070000)","21,843","21,843","1,901","1,741","2,362","4,738","3,588","3,103","2,377","1,288","638","105","2"
"서울특별시 노원구 상계9동(1135071000)","19,665","19,665","1,050","1,711","2,386","2,667","2,977","3,517","2,925","1,537","753","140","2"
"서울특별시 노원구 상계10동(1135072000)","18,185","18,185","1,193","1,504","2,279","2,872","2,783","3,188","2,554","1,151","564","94","3"
"서울특별시 은평구 (1138000000)","466,770","466,770","24,274","35,539","61,795","66,353","70,241","77,837","68,844","39,835","19,745","2,250","57"
"서울특별시 은평구 녹번동(1138051000)","36,111","36,111","2,114","2,101","4,493","5,677","5,380","5,811","5,425","3,274","1,634","199","3"
